V1	sum
k101_110498	173
k101_110501	110
k101_110517	41
k101_110523	130
k101_110525	213
k101_110529	2645
k101_110530	39
k101_110554	53
k101_110566	67
k101_110574	33
k101_110576	177
k101_110586	175
k101_11059	785
k101_110594	116
k101_110598	36
k101_11060	9022
k101_110605	76
k101_110606	167
k101_11061	28
k101_110614	41
k101_110648	168
k101_110656	7736
k101_110657	30
k101_110662	891
k101_11067	953915
k101_110671	22
k101_110672	262
k101_110682	56
k101_110717	61
k101_110719	68
k101_110738	292
k101_110745	6955
k101_110746	84
k101_110765	744
k101_110773	859
k101_11078	61
k101_110781	44
k101_110783	147
k101_110791	67
k101_110795	373
k101_110808	86
k101_11081	78
k101_110812	329
k101_110813	43
k101_11082	276
k101_110826	6188
k101_110838	60
k101_110842	44
k101_11085	193
k101_110855	284
k101_11086	936
k101_110864	112
k101_110865	122
k101_110867	674
k101_110893	39
k101_110894	99
k101_110911	151
k101_110926	141
k101_110938	48
k101_110942	79
k101_110945	22
k101_110950	107
k101_110952	57
k101_110967	73
k101_110969	110
k101_11097	60
k101_110982	100
k101_110986	189
k101_111002	67
k101_111006	142
k101_11101	56
k101_111023	152
k101_111027	67762
k101_111039	193
k101_111049	97
k101_111055	29
k101_111056	9038
k101_11107	42
k101_11108	233
k101_111084	88
k101_111086	352
k101_11109	32
k101_111091	407
k101_111096	1956
k101_1111	646
k101_111101	194
k101_111109	231
k101_11112	160
k101_111121	32
k101_111122	1022
k101_111124	232
k101_11113	215
k101_111130	68
k101_111131	110
k101_11115	484
k101_111150	30
k101_111179	928
k101_111182	120
k101_111193	53
k101_111203	169
k101_111204	558
k101_111216	199
k101_111218	163
k101_11122	9972
k101_111231	24856
k101_111236	180
k101_111248	195
k101_111254	181
k101_111258	105
k101_111263	628
k101_11127	10957
k101_111272	207
k101_111273	261
k101_111282	64
k101_111286	179
k101_11129	257
k101_1113	66
k101_111301	139
k101_111304	2483
k101_111315	60
k101_111319	48
k101_11132	28
k101_111329	50
k101_11133	29
k101_111353	22
k101_111358	50
k101_11136	134
k101_111362	104
k101_111370	250
k101_111380	756
k101_111387	30
k101_111388	11722
k101_11139	138
k101_111399	398
k101_11140	72
k101_11141	158
k101_111412	610
k101_111418	94
k101_111452	86
k101_111453	72
k101_111456	92
k101_11146	406
k101_111466	60
k101_111476	106
k101_111479	48
k101_111501	78
k101_111527	210
k101_111548	194
k101_111562	419
k101_111566	2466
k101_111581	36
k101_111586	40
k101_1116	157
k101_111606	46
k101_111608	32
k101_11162	73
k101_111620	256
k101_111623	275
k101_111635	134
k101_111646	132
k101_111648	40
k101_111655	51
k101_111657	708
k101_111666	218
k101_111670	48
k101_111672	46
k101_111679	32
k101_11169	143
k101_11170	1103
k101_11171	270
k101_111719	97
k101_111725	113
k101_11173	255
k101_111754	122
k101_11176	20
k101_111765	123
k101_111769	110
k101_111776	50
k101_111777	180
k101_111780	116
k101_11180	2382
k101_111801	71
k101_111815	264
k101_111827	42
k101_111841	133
k101_11185	175
k101_111862	41
k101_111869	75
k101_111874	418
k101_111875	193
k101_11188	136
k101_111886	30
k101_111897	34
k101_11190	36
k101_111914	111
k101_111921	41
k101_111924	49
k101_111929	70
k101_11193	49
k101_111941	54
k101_111946	1192
k101_11195	143
k101_111951	78
k101_111955	1290
k101_11196	812
k101_111973	166
k101_111976	192
k101_111977	166
k101_111980	60
k101_111984	149
k101_11199	269
k101_111991	18
k101_111999	234
k101_112003	62
k101_112015	115
k101_112046	23
k101_112051	107
k101_112058	140
k101_11206	101
k101_112062	35
k101_112079	1131
k101_11208	229
k101_112097	130
k101_1121	322
k101_112102	58
k101_112117	40
k101_11212	4217
k101_112121	8027
k101_11213	257
k101_11214	68
k101_112141	1188
k101_112142	44
k101_112162	24
k101_112171	308
k101_112181	86
k101_112182	268
k101_11219	1040
k101_112194	63
k101_112196	102
k101_112213	24
k101_11222	67
k101_112226	421
k101_11223	115
k101_112234	170
k101_112238	83
k101_112248	114
k101_112255	32
k101_112258	266
k101_112265	60
k101_112266	176
k101_112280	64
k101_112287	27
k101_112289	202
k101_112293	3807
k101_112297	56
k101_112313	958
k101_112317	61
k101_112319	44
k101_112344	443
k101_112346	51
k101_112359	274
k101_11237	36
k101_11238	81
k101_112401	29501
k101_112405	152
k101_112416	56
k101_112419	273
k101_112423	70
k101_11243	75
k101_112444	48
k101_112446	63
k101_112472	127
k101_11249	141
k101_112494	62
k101_1125	802
k101_11250	129
k101_112507	66
k101_112510	60
k101_112541	26
k101_112548	145
k101_11255	1650
k101_112566	130
k101_112567	28
k101_112575	138
k101_112586	95
k101_112608	50
k101_112610	183
k101_112614	41
k101_112615	83
k101_112621	63
